Map_ID,Size,NumWumpus,PitProb,Moving,Hybrid_Success,Hybrid_Score,Hybrid_Decision_Eff,Hybrid_Time_ms,Random_Success,Random_Score,Random_Decision_Eff,Random_Time_ms
37,8,1,0.1,False,0,-1013,13,40.654182,0,0,1,0.027657
38,8,1,0.1,False,0,-1037,37,1125.604153,0,-1316,547,6.394386
39,8,1,0.1,False,1,851,152,46092.778683,0,0,1,0.029564
40,8,1,0.1,False,1,990,22,374.754429,0,-3,4,0.067949
41,8,1,0.1,False,0,-1008,8,5.775928,0,0,1,0.023842
42,8,1,0.1,False,1,967,45,965.586662,0,-1046,66,0.82469
43,8,1,0.1,False,1,998,14,17.261744,0,-11,4,0.06628
44,8,1,0.1,False,1,903,109,26429.746628,0,-37,53,0.633001
45,8,1,0.1,False,1,925,87,11625.354528,0,-1,3,0.060558
46,8,1,0.1,False,0,-1008,8,5.917549,0,-10,3,0.065565
47,8,1,0.1,False,1,1010,2,0.633717,0,-26,21,0.270367
48,8,1,0.1,False,1,931,81,8029.3293,0,0,1,0.028133
49,8,1,0.1,False,1,972,40,1443.576574,0,0,2,0.043392
50,8,1,0.1,False,1,865,138,39239.326954,0,0,1,0.026941
51,8,2,0.2,False,0,-1035,26,196.799517,0,-16,12,0.545502
52,8,2,0.2,False,1,987,25,169.674635,0,0,1,0.025034
53,8,2,0.2,False,1,996,16,54.653645,0,-11,7,0.10705
54,8,2,0.2,False,0,-1002,2,1.116037,0,-1,2,0.037432
55,8,2,0.2,False,1,952,60,2434.315205,0,0,1,0.058889
56,8,2,0.2,False,1,981,31,207.065582,0,-1021,17,0.24128
57,8,2,0.2,False,1,925,78,5987.758398,0,0,1,0.035286
58,8,2,0.2,False,1,912,100,10869.657278,0,-2,4,0.070572
59,8,2,0.2,False,1,964,48,825.516224,0,-1024,30,0.41604
60,8,2,0.2,False,1,1003,9,10.306358,0,-16,9,0.130415
61,8,2,0.2,False,0,-1028,28,403.913975,0,-1,2,0.043392
62,8,2,0.2,False,1,1000,12,10.191202,0,0,4,0.061035
63,8,2,0.2,False,1,950,62,2518.619776,0,-1001,1,0.036478
64,8,2,0.2,False,1,921,91,5492.388248,0,-1001,1,0.035048
65,8,2,0.2,False,0,-1002,2,1.010656,0,-15,12,0.163317
66,8,2,0.2,False,0,-1010,10,9.150267,0,-16,17,0.215054
67,8,2,0.2,False,1,962,50,833.161831,0,-2,3,0.058651
68,8,2,0.2,False,0,-1002,2,1.010418,0,-1003,3,0.054598
69,8,2,0.2,False,0,-1011,11,25.773525,0,-4,6,0.09799
70,8,2,0.2,False,0,-1002,2,0.984669,0,-1011,2,0.044823
71,8,2,0.2,False,0,-1002,2,1.0221,0,-1001,1,0.029325
72,8,2,0.2,False,1,990,22,357.815981,0,-22,27,0.365496
73,8,2,0.2,False,1,997,15,19.733429,0,-1032,33,0.464439
74,8,2,0.2,False,0,-1039,39,924.430847,0,-1,2,0.044346
75,8,2,0.2,False,0,-1014,14,58.870077,0,0,1,0.029802
76,8,2,0.2,False,0,-1019,19,145.521402,0,-24,19,0.270844
77,8,2,0.2,False,0,-1002,2,1.031637,0,-1002,2,0.038147
78,8,2,0.2,False,0,-1002,2,0.945568,0,0,2,0.032902
79,8,2,0.2,False,0,-1103,94,7263.4058,1,1010,2,0.033617
80,8,2,0.2,False,0,-1002,2,0.97847,0,-1030,40,0.473976
81,8,2,0.2,False,0,-1013,13,25.987625,0,0,1,0.028133
82,8,2,0.2,False,0,-1041,41,523.098707,0,-12,6,0.099659
83,8,2,0.2,False,0,-1002,2,1.028538,0,-1018,18,0.231266
84,8,2,0.2,False,1,971,41,691.123724,0,-25,28,0.461578
85,8,2,0.2,False,0,-1013,13,27.676105,0,-1,2,0.042677
86,8,2,0.2,False,1,921,91,7060.295343,0,-1004,5,0.087261
87,8,2,0.2,False,1,913,99,4748.280048,0,-1041,66,0.781775
88,8,2,0.2,False,0,-1013,13,25.887728,0,-4,5,0.081301
89,8,2,0.2,False,0,-1031,22,156.673431,0,-18,13,0.193119
90,8,2,0.2,False,0,-1002,2,1.047611,0,-1001,1,0.029564
91,8,2,0.2,False,1,1003,9,9.371996,0,-10,2,0.043869
92,8,2,0.2,False,0,-1003,3,1.982927,0,0,1,0.024557
93,8,2,0.2,False,0,-1022,22,166.201591,0,-1019,15,0.195742
94,8,2,0.2,False,0,-1010,10,11.65247,0,-16,9,0.132322
95,8,2,0.2,False,0,-1008,8,6.061077,0,0,1,0.027657
96,8,2,0.2,False,1,971,41,520.459414,0,0,1,0.028133
97,8,2,0.2,False,1,1005,7,4.382372,0,0,1,0.024796
98,8,2,0.2,False,0,-105,96,12204.488277,0,-1,2,0.047684
99,8,2,0.2,False,1,964,39,477.665901,1,1010,2,0.034809
100,8,2,0.2,False,0,-1002,2,1.04785,0,-1034,36,0.442505
101,8,2,0.1,True,0,-1010,10,9.356737,0,-1039,68,0.925303
102,8,2,0.1,True,0,-1034,34,272.837162,0,0,1,0.026703
103,8,2,0.1,True,0,-1073,73,2847.255707,0,0,1,0.026226
